Socioeconomic Score,Study Hours,Sleep Hours,Attendance (%),Grades
0.95822,3.4,8.2,53.0,47.0
0.85566,3.2,5.9,55.0,35.0
0.68025,3.2,9.3,41.0,32.0
0.25936,3.2,8.2,47.0,34.0
0.60447,3.8,10.0,75.0,33.0
0.9832,3.4,9.0,47.0,51.0
0.56648,7.9,8.1,63.0,54.0
0.93487,1.4,8.0,47.0,34.0
0.4666,5.4,8.8,67.0,39.0
0.6213,1.4,9.6,42.0,34.0
0.34712,3.8,7.3,61.0,35.0
0.34816,9.1,7.7,80.0,60.0
0.81689,1.1,8.9,43.0,34.0
0.3594,3.7,8.0,55.0,35.0
0.97654,3.7,9.9,51.0,51.0
0.42548,3.9,9.3,68.0,33.0
0.64124,2.9,5.7,60.0,35.0
0.64898,4.6,5.4,74.0,34.0
0.92323,3.9,9.8,69.0,46.0
0.87614,3.5,8.3,55.0,39.0
0.26296,2.6,8.1,47.0,35.0
0.58981,3.5,8.8,70.0,34.0
0.66286,9.8,6.2,78.0,64.0
0.83527,6.5,9.2,65.0,52.0
0.6882,4.0,6.0,66.0,34.0
0.85543,3.1,8.6,52.0,37.0
0.34563,2.8,5.6,40.0,33.0
0.53559,3.8,8.2,59.0,34.0
0.73168,5.9,8.1,58.0,45.0
0.30447,3.5,6.9,60.0,35.0
0.40864,3.8,9.4,45.0,33.0
0.46119,7.2,7.7,56.0,49.0
0.27332,6.1,8.9,53.0,43.0
0.42048,3.0,9.8,53.0,34.0
0.25286,4.9,7.6,51.0,35.0
0.19568,5.3,9.8,74.0,38.0
0.91607,2.1,7.9,56.0,33.0
0.99789,9.5,7.1,41.0,88.0
0.14907,6.8,8.9,56.0,47.0
0.28434,3.7,9.3,68.0,34.0
0.37128,3.7,9.2,80.0,33.0
0.28078,1.3,8.7,49.0,34.0
0.79683,3.6,8.6,63.0,34.0
0.74132,8.4,7.5,80.0,58.0
0.67146,3.6,9.2,77.0,35.0
0.4485,3.0,6.2,61.0,35.0
0.30071,3.1,5.5,53.0,34.0
0.57307,3.8,6.1,60.0,34.0
0.4928,3.6,6.3,42.0,34.0
0.56987,9.0,7.3,74.0,61.0
0.39782,8.9,6.4,84.0,60.0
0.5882,8.8,5.1,72.0,60.0
0.68935,4.2,7.8,72.0,33.0
0.13906,3.6,8.7,62.0,33.0
0.15977,1.0,7.2,46.0,34.0
0.12011,4.0,6.1,55.0,35.0
0.25436,3.5,8.6,51.0,34.0
0.60836,3.4,9.0,43.0,34.0
0.73301,1.9,9.5,73.0,35.0
0.28223,6.9,5.9,67.0,48.0
0.26423,4.3,8.0,66.0,35.0
0.65211,3.6,7.3,54.0,34.0
0.68842,2.6,6.6,58.0,33.0
0.99555,5.7,7.9,78.0,66.0
0.10385,8.0,8.7,63.0,54.0
0.89689,6.2,8.2,46.0,57.0
0.15984,6.5,9.7,68.0,46.0
0.95774,3.8,8.4,76.0,47.0
0.35364,3.3,9.9,40.0,33.0
0.44383,3.9,6.8,53.0,33.0
0.18247,5.8,9.4,64.0,41.0
0.20105,3.2,6.7,44.0,33.0
0.75407,7.3,9.6,61.0,54.0
0.9499,8.1,8.5,84.0,70.0
0.74427,8.6,7.4,100.0,58.0
0.14071,4.0,9.8,50.0,35.0
0.41558,3.2,6.9,47.0,33.0
0.31732,2.5,9.8,41.0,34.0
0.26158,6.7,6.3,63.0,46.0
0.92339,4.9,8.2,69.0,49.0
0.22624,3.6,9.9,63.0,34.0
0.18915,5.5,5.5,54.0,38.0
0.38692,3.9,5.1,64.0,35.0
0.4561,3.9,9.1,64.0,33.0
0.26974,7.1,8.8,53.0,49.0
0.60547,6.8,7.4,61.0,46.0
0.72353,2.3,6.4,51.0,33.0
0.57891,3.8,8.2,51.0,34.0
0.49081,4.5,8.6,47.0,34.0
0.29743,3.6,7.7,66.0,34.0
0.78173,7.3,5.1,57.0,51.0
0.47728,3.9,8.2,66.0,34.0
0.36757,1.6,7.1,44.0,35.0
0.18389,3.0,8.1,42.0,35.0
0.26843,3.6,8.6,58.0,34.0
0.55376,7.4,8.2,82.0,50.0
0.86422,3.2,9.3,48.0,37.0
0.31208,3.4,9.0,65.0,34.0
0.94165,3.8,6.1,55.0,45.0
0.95942,4.8,8.9,59.0,54.0
0.96301,4.1,9.0,47.0,53.0
0.42744,3.9,9.8,79.0,34.0
0.16542,3.8,9.1,55.0,35.0
0.61194,3.1,9.0,59.0,35.0
0.60281,3.6,5.1,48.0,33.0
0.86498,8.3,8.2,59.0,64.0
0.41068,2.0,8.6,49.0,33.0
0.26731,4.0,8.8,65.0,33.0
0.5582,7.6,9.0,59.0,53.0
0.59997,3.6,5.8,57.0,34.0
0.84244,6.6,8.5,51.0,57.0
0.55412,3.9,6.3,51.0,35.0
0.23347,3.7,8.7,57.0,34.0
0.70763,3.7,8.1,67.0,35.0
0.25321,3.8,8.4,75.0,35.0
0.27079,7.1,8.0,71.0,49.0
0.93385,2.8,8.1,45.0,40.0
0.12899,2.2,8.2,51.0,33.0
0.51628,3.9,9.1,43.0,35.0
0.69857,3.7,7.5,51.0,35.0
0.85567,3.3,8.0,52.0,36.0
0.42434,6.7,5.7,56.0,47.0
0.48421,7.3,8.4,68.0,49.0
0.98373,3.3,8.6,45.0,50.0
0.49489,1.2,5.8,53.0,33.0
0.31067,3.8,10.0,52.0,34.0
0.47068,3.6,8.1,61.0,34.0
0.34342,8.0,6.4,60.0,53.0
0.14197,8.1,5.8,64.0,55.0
0.48911,3.6,5.6,50.0,33.0
0.8447,3.4,8.5,43.0,38.0
0.70779,6.9,8.8,52.0,49.0
0.93925,6.0,9.8,51.0,60.0
0.72427,3.6,8.4,69.0,34.0
0.97759,5.0,8.3,75.0,57.0
0.31144,6.0,8.7,82.0,42.0
0.1903,4.2,5.3,50.0,33.0
0.75318,3.5,9.7,51.0,35.0
0.40247,7.7,8.3,59.0,53.0
0.2528,4.0,9.7,66.0,34.0
0.62268,3.2,6.2,47.0,35.0
0.53531,8.8,6.7,61.0,59.0
0.49722,4.0,8.2,51.0,34.0
0.40478,7.7,9.0,59.0,51.0
0.36413,8.2,5.7,76.0,54.0
0.33917,3.9,8.7,63.0,34.0
0.18535,7.7,8.8,83.0,52.0
0.13291,3.6,8.2,56.0,35.0
0.26777,3.4,6.9,46.0,34.0
0.77209,8.8,6.8,69.0,61.0
0.39292,1.8,8.3,47.0,34.0
0.70141,7.2,9.5,53.0,53.0
0.7452,5.9,8.4,78.0,42.0
0.62307,3.2,5.8,43.0,34.0
0.96291,3.6,8.3,74.0,46.0
0.87604,6.2,9.9,47.0,57.0
0.2511,3.6,8.8,53.0,33.0
0.39414,3.6,8.6,54.0,33.0
0.25521,7.8,7.9,60.0,53.0
0.38537,8.7,5.9,72.0,60.0
0.58556,3.6,8.8,59.0,35.0
0.72183,6.3,9.9,54.0,48.0
0.47921,3.8,9.3,67.0,34.0
0.86861,3.1,8.3,49.0,38.0
0.1582,3.0,9.7,42.0,34.0
0.60177,6.2,7.7,70.0,44.0
0.9612,4.0,8.9,56.0,50.0
0.89116,3.7,9.5,53.0,43.0
0.46406,5.5,8.2,83.0,41.0
0.36236,1.4,8.3,58.0,34.0
0.57926,6.3,8.5,71.0,44.0
0.39146,6.9,8.8,58.0,49.0
0.29794,3.7,5.1,55.0,34.0
0.75452,6.2,8.0,64.0,47.0
0.41469,5.6,8.1,65.0,40.0
0.18356,4.9,8.4,76.0,35.0
0.56512,3.7,9.6,52.0,34.0
0.2921,3.6,8.5,51.0,33.0
0.85183,6.5,9.3,57.0,54.0
0.65421,3.9,8.1,69.0,35.0
0.67041,4.9,10.0,54.0,38.0
0.58693,6.5,9.3,81.0,46.0
0.93454,6.6,9.1,57.0,62.0
0.93871,6.3,10.0,61.0,62.0
